#CODE	ENGLISH	ENGLISH
#TITLE_CREATION_HAS_OWNER	You are not allowed to create or usurp titles while you hold a Temporary title	You are not allowed to create or usurp titles while you hold a Temporary title
EVTDESC_RoI_1143	At one point during the feast, a male singer performs. His voice is captivating and sensual, notes dancing across the room and tickling your skin with an almost physical touch. You are completely captivated by his charisma - he reminds you of the mysterious and beautiful Gandharvas of legend, singer spirits of the sky making music for the gods.	You call the dancer over after the dance has finished, and she comes and sits down next to you. You talk of the body, pleasure and beauty. She sits very close to you, speaking with a soft and seductive voice. You begin to feel strangely warm and light-headed. It feels good.
EVTOPTA_RoI_1143	Call him over after the performance.	Let's go somewhere private...
EVTOPTB_RoI_1143	Leave it be.	Enchanted, but you should leave, my dear.
EVTDESC_RoI_1144	You call the singer over after the performance has finished, and he comes and sits down next to you. You talk of music, the body, pleasure and beauty. He sits very close to you, speaking with a soft and seductive voice. You begin to feel strangely warm and light-headed. It feels good.	As you wake, your mind is filled with memories of a wonderful night of pleasure. You look around, but the dancer is gone without a trace. It was truly something extraordinary, and your mind wanders to old tales told by priests and storytellers - was she really a human woman, or could it be that you have met one of the beautiful Apsara of legend?
EVTDESC_RoI_1145	As you wake, your mind is filled with memories of a wonderful night of pleasure. You look around, but the singer is gone without a trace. A small bird flies by outside the window, singing beautifully. Your mind wanders to old tales told by priests and storytellers - was he really a human man, or could it be that you have met one of the beautiful Gandharva of legend?	I have been touched by the divine.
EVTTITLE_RoI_1051	The Mage	I shall never know.
EVTDESC_RoI_1151	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he explains that the coming show will astound even the most cyncial spectator. He proceeds to put a small boy into a basket on the floor, wherafter he swiftly chops the basket into little pieces with a sword. When he removes the shreds of the basket, there is no sign of the boy, no blood, nothing...	At one point during the feast, a male singer performs. His voice is captivating and sensual, notes dancing across the room and tickling your skin with an almost physical touch. You are completely captivated by his charisma - he reminds you of the mysterious and beautiful Gandharvas of legend, singer spirits of the sky making music for the gods.
EVTOPTA_RoI_1151	Amazing!	Call him over after the performance.
EVTOPTB_RoI_1151	Guards - arrest that man!	Leave it be.
EVTDESC_RoI_1152	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he places three cups before you on the table. He places a ball under one cup, and then tells you to observe closely and tell you where the ball is after he finishes moving the cups. He then shifts the cups around with lightning speed, all the while prattling on and telling you to pay attention. He then asks you to pick a cup.	You call the singer over after the performance has finished, and he comes and sits down next to you. You talk of music, the body, pleasure and beauty. He sits very close to you, speaking with a soft and seductive voice. You begin to feel strangely warm and light-headed. It feels good.
EVTOPTA_RoI_1152	Left.	As you wake, your mind is filled with memories of a wonderful night of pleasure. You look around, but the singer is gone without a trace. A small bird flies by outside the window, singing beautifully. Your mind wanders to old tales told by priests and storytellers - was he really a human man, or could it be that you have met one of the beautiful Gandharva of legend?
EVTOPTB_RoI_1152	Middle.	The Mage
EVTOPTC_RoI_1152	Right.	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he explains that the coming show will astound even the most cyncial spectator. He proceeds to put a small boy into a basket on the floor, wherafter he swiftly chops the basket into little pieces with a sword. When he removes the shreds of the basket, there is no sign of the boy, no blood, nothing...
EVTDESC_RoI_1153	The magician looks at you with a knowing and superior smile as he reveals the ball. It seems you chose the wrong cup.	Amazing!
EVTOPTA_RoI_1153	Oh snap.	Guards - arrest that man!
EVTOPTB_RoI_1153	I think you are cheating!	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he places three cups before you on the table. He places a ball under one cup, and then tells you to observe closely and tell you where the ball is after he finishes moving the cups. He then shifts the cups around with lightning speed, all the while prattling on and telling you to pay attention. He then asks you to pick a cup.
EVTOPTC_RoI_1153	I saw you cheating, you trickster!	Left.
EVTDESC_RoI_1154	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he explains that you are about to see something amazing. He takes out a rope and starts playing a flute. The rope starts dancing by itself and rises up towards the ceiling. The magician beckons, and a small boy appears and starts climbing the rope. The audience gasps. After a minute, the boy climbs down, the magician stops playing and the rope falls down again.	Middle.
EVTOPTB_RoI_1154	Hah! I could see the hidden wire.	Right.
EVTDESC_RoI_1160	You are sitting at the table during the feast, enjoying the food and drink. Suddenly, you hear a wild chattering and screaming. A group of small monkeys have entered through an open window, and they quickly spread in the hall, causing chaos! They pull people's hair and clothes, steal food, spill wine, drink wine and defecate on the tables. The feast hall is in uproar.	The magician looks at you with a knowing and superior smile as he reveals the ball. It seems you chose the wrong cup.
EVTOPTA_RoI_1160	Oh my!	Oh snap.
EVTOPTB_RoI_1160	Hand me my bow!	I think you are cheating!
EVTOPTC_RoI_1160	Let's catch one and see what they look like on the inside...	I saw you cheating, you trickster!
EVTOPTD_RoI_1160	The monkeys are my friends!	There is a murmur among the guests of the feast, as a mage enters to entertain you. With great flourish, he explains that you are about to see something amazing. He takes out a rope and starts playing a flute. The rope starts dancing by itself and rises up towards the ceiling. The magician beckons, and a small boy appears and starts climbing the rope. The audience gasps. After a minute, the boy climbs down, the magician stops playing and the rope falls down again.
EVTOPTE_RoI_1160	Such beautiful animals! I shall marry one of them!	Hah! I could see the hidden wire.
EVTOPTF_RoI_1160	Haha! Look at the little rascals! So carefree!	You are sitting at the table during the feast, enjoying the food and drink. Suddenly, you hear a wild chattering and screaming. A group of small monkeys have entered through an open window, and they quickly spread in the hall, causing chaos! They pull people's hair and clothes, steal food, spill wine, drink wine and defecate on the tables. The feast hall is in uproar.
EVTOPTG_RoI_1160	Aaah! Get those little monsters out of here!	Oh my!
EVTDESC_RoI_1171	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served, and the drink is also plentiful. Rama and Lakshi are honored, celebrating the victory of light over darkness, good over evil and hope over despair.	Hand me my bow!
EVTOPTA_RoI_1171	Let us celebrate!	Let's catch one and see what they look like on the inside...
EVTDESC_RoI_1173	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served, and the drink is also plentiful. You celebrate the victory of light over darkness, good over evil, knowledge over ignorance and hope over despair.	The monkeys are my friends!
EVTOPTA_RoI_1173	Let us celebrate!	Such beautiful animals! I shall marry one of them!
EVTDESC_RoI_1175	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served. The attainment of Nirvana of Lord Mahavira, the last Tirthankar, is celebrated, with the victory of good over evil and knowledge over ignorance.	Haha! Look at the little rascals! So carefree!
EVTOPTA_RoI_1175	Let us celebrate!	Aaah! Get those little monsters out of here!
EVTDESC_RoI_1177	The darkest night of the Kali Puja is here, the most important night of the feast. Candles are lit everywhere, placed inside human skulls. The guests stroll across the painted and decorated floor, carrying various symbols of time, death and change. Homage is offered to the beautiful and terrifying four-armed idols with swords, skulls and severed heads in their hands.	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served, and the drink is also plentiful. Rama and Lakshi are honored, celebrating the victory of light over darkness, good over evil and hope over despair.
EVTOPTA_RoI_1177	Let the ceremonies begin.	Let us celebrate!
EVTOPTB_RoI_1177	Let's do something extra this year...	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served, and the drink is also plentiful. You celebrate the victory of light over darkness, good over evil, knowledge over ignorance and hope over despair.
EVTDESC_RoI_1178	Kali is our Mother, the Goddess of Time, Death and the Darkest Night. She must be honored properly, and you have just the right thing in mind...	Let us celebrate!
EVTOPTA_RoI_1178	We will sacrifice a prisoner...	The darkest night of the Diwali is here, the most important night of the feast. Candles and lamps are lit everywhere, the guests stroll across the painted and decorated floor, wearing colorful dress. Rich and sweet food is served. The attainment of Nirvana of Lord Mahavira, the last Tirthankar, is celebrated, with the victory of good over evil and knowledge over ignorance.
EVTOPTB_RoI_1178	We will sacrifice that servant over there.	Let us celebrate!
EVTOPTC_RoI_1178	We will sacrifice ten elephants and paint the walls with blood.	The darkest night of the Kali Puja is here, the most important night of the feast. Candles are lit everywhere, placed inside human skulls. The guests stroll across the painted and decorated floor, carrying various symbols of time, death and change. Homage is offered to the beautiful and terrifying four-armed idols with swords, skulls and severed heads in their hands.
EVTDESC_RoI_1179	[From.GetFullName] screams as [From.GetSheHe] is dragged before the great idol of Kali. As temple servants hold [From.GetHerHim] down, a priest pulls out a long kris and then stabs [From.GetHerHim] right through the heart. Then [From.GetHerHis] throat is cut and the blood is slowly collected in bowls made of a human skulls and passed around for the guests to drink.	Let the ceremonies begin.
EVTOPTA_RoI_1179	This is truly a joyous occasion!	Let's do something extra this year...
EVTDESC_RoI_1181	The servant screams as he is seized by the guards and then dragged before the great idol of Kali. As temple servants hold him down, a priest pulls out a long kris and then stabs him right through the heart. Then his throat is cut and the blood is slowly collected in bowls made of a human skulls and passed around for the guests to drink.	Kali is our Mother, the Goddess of Time, Death and the Darkest Night. She must be honored properly, and you have just the right thing in mind...
EVTTITLE_RoI_1183	A celebration in blood	We will sacrifice a prisoner...
EVTDESC_RoI_1183	A large elephant is led into the hall. It is tied down with strong ropes and chains, and then stabbed with swords, screaming and trumpeting terribly for several minutes as it dies. The guests watch in horrified fascination. The process is then repeated with nine more elephants - a long, bloody cacophonic concert of death. At the end of it, the floor is a lake of blood. Several priests step forth, sliding and slipping in the gore, holding long brushes. They dip the brushes in the blood and start painting the walls, eventually covering them entirely in this gruesome, wet and dark paint. The smell is strong and sickening.	We will sacrifice that servant over there.
EVTOPTA_RoI_1183	Praise Kali, our Mother!	We will sacrifice ten elephants and paint the walls with blood.
EVTDESC_RoI_1188	Several black goats are brought forth by the priests. The goats are laid down below a large statue of Kali, and their throats are cut open. The blood is collected in bowls made of human skulls and presented to the crowd. A chanting arises, then a cheer, as the holy sacrifice to the Goddess of Death, Time and of the Blackest Night has been made.	[From.GetFullName] screams as he is dragged before the great idol of Kali. As temple servants hold him down, a priest pulls out a long kris and then stabs him right through the heart. Then his throat is cut and the blood is slowly collected in bowls made of a human skulls and passed around for the guests to drink.
EVTOPTA_RoI_1188	Praise Kali, our Mother!	This is truly a joyous occasion!
horse_archers_offensive	Horse Archers Offensive	The servant screams as he is seized by the guards and then dragged before the great idol of Kali. As temple servants hold him down, a priest pulls out a long kris and then stabs him right through the heart. Then his throat is cut and the blood is slowly collected in bowls made of a human skulls and passed around for the guests to drink.
horse_archers_defensive	Horse Archers Defensive	A celebration in blood
horse_archers_morale	Horse Archers Morale	A large elephant is led into the hall. It is tied down with strong ropes and chains, and then stabbed with swords, screaming and trumpeting terribly for several minutes as it dies. The guests watch in horrified fascination. The process is then repeated with nine more elephants - a long, bloody cacophonic concert of death. At the end of it, the floor is a lake of blood. Several priests step forth, sliding and slipping in the gore, holding long brushes. They dip the brushes in the blood and start painting the walls, eventually covering them entirely in this gruesome, wet and dark paint. The smell is strong and sickening.
UNSUPPORTED_VERSION_2_1	§RPre 2.1§!	Praise Kali, our Mother!
EVTDESC_RoI_2000	You have decided to organize a tiger hunt. You will invite your vassals to enjoy this occasion with you.	Several black goats are brought forth by the priests. The goats are laid down below a large statue of Kali, and their throats are cut open. The blood is collected in bowls made of human skulls and presented to the crowd. A chanting arises, then a cheer, as the holy sacrifice to the Goddess of Death, Time and of the Blackest Night has been made.
EVTOPTA_RoI_2000	Send riders with the invitations.	Praise Kali, our Mother!
EVTTOOLTIP1_RoI_2000	Invitation is sent.	Horse Archers Offensive
EVTDESC_RoI_2001	Dear vassal,\n\nI am organizing a great tiger hunt for all my vassals, and hereby invite you to attend.\n\n[From.GetFullName]	Horse Archers Defensive
EVTOPTA_RoI_2001	A tiger hunt! Of course I will go.	Horse Archers Morale
EVTOPTB_RoI_2001	I have no time for sport.	§RPre 2.1§!
EVTDESC_RoI_2002	My liege,\n\nYour wisdom and generosity is overwhelming. I will gladly come to the tiger hunt.\n\n[From.GetFullName]	You have decided to organize a tiger hunt. You will invite your vassals to enjoy this occasion with you.
EVTOPTA_RoI_2002	Excellent.	Send riders with the invitations.
EVTDESC_RoI_2003	My liege,\n\nUnfortunately, I have pressing business that forces me to decline your invitation to the tiger hunt.\n\n[From.GetFullName]	Invitation is sent.
EVTOPTA_RoI_2003	'Pressing business', eh?	Dear vassal,\n\nI am organizing a great tiger hunt for all my vassals, and hereby invite you to attend.\n\n[From.GetFullName]
EVTDESC_RoI_2019	You have arrived at the hunting camp. Retainers are available to see to your every need, and soldiers will be useful both for guarding the camp and for flushing out any tigers. This should be a fine day!	A tiger hunt! Of course I will go.
EVTOPTA_RoI_2019	I can't wait!	I have no time for sport.
EVTDESC_RoI_2020	The hunters and their respective entourages have gathered at the hunting camp. Retainers are available to see to your every need, and soldiers will be useful both for guarding the camp and for flushing out any tigers. This should be a fine day!	My liege,\n\nYour wisdom and generosity is overwhelming. I will gladly come to the tiger hunt.\n\n[From.GetFullName]
EVTOPTA_RoI_2020	I can't wait!	Excellent.
EVTDESC_RoI_2501	A most successful hunt! A slain tiger means luck for the realm and everyone heads for home with new optimism.	My liege,\n\nUnfortunately, I have pressing business that forces me to decline your invitation to the tiger hunt.\n\n[From.GetFullName]
EVTOPTA_RoI_2501	Rejoice!	Pressing business', eh?
EVTDESC_RoI_2502	A failed hunt! No tigers were slain, and this is an ill omen for the realm. You vow to return and have better luck next time.	You have arrived at the hunting camp. Retainers are available to see to your every need, and soldiers will be useful both for guarding the camp and for flushing out any tigers. This should be a fine day!
EVTOPTA_RoI_2502	Unfortunate.	I can't wait!
EVTDESC_RoI_2100	The social life at the camp is an important part of the tiger hunt. Late at night, after many cups of wine, you sit and talk into the small hours. You are having a good time, and it seems you have made a new friend.	The hunters and their respective entourages have gathered at the hunting camp. Retainers are available to see to your every need, and soldiers will be useful both for guarding the camp and for flushing out any tigers. This should be a fine day!
EVTOPTA_RoI_2100	Good times!	I can't wait!
EVTDESC_RoI_2102	The social life at the camp is an important part of the tiger hunt. Late at night, after many cups of wine, you sit and talk into the small hours. But misunderstandings occur so easily among the inebriated...	A most successful hunt! A slain tiger means luck for the realm and everyone heads for home with new optimism.
EVTOPTA_RoI_2102	I hate you!	Rejoice!
EVTDESC_RoI_2104	Evening pastimes during the tiger hunt include playing at cards. A group has gathered to play and you join them. Of course, the game is only interesting if you play for gold and silver - but how much will you bet?	A failed hunt! No tigers were slain, and this is an ill omen for the realm. You vow to return and have better luck next time.
EVTOPTA_RoI_2104	Play with high stakes.	Unfortunate.
EVTOPTB_RoI_2104	Play with low stakes.	The social life at the camp is an important part of the tiger hunt. Late at night, after many cups of wine, you sit and talk into the small hours. You are having a good time, and it seems you have made a new friend.
EVTDESC_RoI_2105	The card game didn't go very well, and you lost a significant amount of money.	Good times!
EVTOPTA_RoI_2105	I knew I shouldn't have played!	The social life at the camp is an important part of the tiger hunt. Late at night, after many cups of wine, you sit and talk into the small hours. But misunderstandings occur so easily among the inebriated...
EVTDESC_RoI_2106	You had mixed fortunes at the card game, and in the end your wins and losses balanced out.	I hate you!
EVTOPTA_RoI_2106	Oh well.	Evening pastimes during the tiger hunt include playing at cards. A group has gathered to play and you join them. Of course, the game is only interesting if you play for gold and silver - but how much will you bet?
EVTDESC_RoI_2107	You had an excellent run at the card game, and won a significant amount of money.	Play with high stakes.
EVTOPTA_RoI_2107	I'm good at this!	Play with low stakes.
EVTDESC_RoI_2111	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, but soldiers immediately move to attack it and they manage to kill it with their spears.	The card game didn't go very well, and you lost a significant amount of money.
EVTOPTA_RoI_2111	Phew, that was close!	I knew I shouldn't have played!
EVTDESC_RoI_2112	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, striking at one of the servants, ripping him to shreds before disappearing again into the jungle.	You had mixed fortunes at the card game, and in the end your wins and losses balanced out.
EVTOPTA_RoI_2112	No!	Oh well.
EVTDESC_RoI_2113	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, striking at one of the hunters, ripping and tearing flesh before disappearing again into the jungle.	You had an excellent run at the card game, and won a significant amount of money.
EVTDESC_RoI_2120	Several forward scouts come running back to the main hunting party. In excited whispers, they inform you that a large tiger has been spotted ahead.	I'm good at this!
EVTOPTA_RoI_2120	Hand me my spear, and stand back. I will kill it myself.	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, but soldiers immediately move to attack it and they manage to kill it with their spears.
EVTOPTB_RoI_2120	Bring the soldiers forward, let's corner it and kill it.	Phew, that was close!
EVTDESC_RoI_2121	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. The tiger prowls towards you, slowly. Then suddenly, it leaps towards you! You sidestep and stab with your spear, sinking it deeply into its flank.	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, striking at one of the servants, ripping him to shreds before disappearing again into the jungle.
EVTOPTA_RoI_2121	I killed the tiger!	No!
EVTDESC_RoI_2122	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. The tiger prowls towards you, slowly. Then suddenly, the huge beast stops, looking nervous. It turns and runs into the dense vegetation before you can throw your spear.	The hunting party moves through the jungle. You are hoping luck will find you a tiger to kill. Suddenly, there is a movement in the underbrush... and a large tiger springs out, roaring fiercely! It attacks the hunting party, striking at one of the hunters, ripping and tearing flesh before disappearing again into the jungle.
EVTOPTA_RoI_2122	I failed to kill the tiger!	Several forward scouts come running back to the main hunting party. In excited whispers, they inform you that a large tiger has been spotted ahead.
EVTDESC_RoI_2123	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. Then suddenly, the tiger leaps towards you! Surprised, you stumble backwards as it starts to tear at you with claws and teeth. Your soldiers run in, stabbing at the beast, and it decides to retreat, disappearing into the dense vegetation.	Hand me my spear, and stand back. I will kill it myself.
EVTOPTA_RoI_2123	I have been grievously wounded!	Bring the soldiers forward, let's corner it and kill it.
EVTDESC_RoI_2124	The hunting party edges forward, encircling the area and closing on the tiger. The beast discovers the trap too late and tries to run, but the hunters close in from all sides, stabbing with their spears. The tiger roars wildly as its life's blood spills over the ground.	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. The tiger prowls towards you, slowly. Then suddenly, it leaps towards you! You sidestep and stab with your spear, sinking it deeply into its flank.
EVTOPTA_RoI_2124	We killed the tiger!	I killed the tiger!
EVTDESC_RoI_2125	The hunting party edges forward, encircling the area and closing on the tiger. The beast, however, smells the trap and turns and flees into the dense vegetation. Several soldiers run after it but return shortly after to report that the animal is gone.	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. The tiger prowls towards you, slowly. Then suddenly, the huge beast stops, looking nervous. It turns and runs into the dense vegetation before you can throw your spear.
EVTOPTA_RoI_2125	No luck today, it seems.	I failed to kill the tiger!
expel_the_jomsvikings	Expel the Jomsvikings	Stepping forward, you watch the tiger closely, weighing your spear in your hand and waiting for the right moment to strike. Then suddenly, the tiger leaps towards you! Surprised, you stumble backwards as it starts to tear at you with claws and teeth. Your soldiers run in, stabbing at the beast, and it decides to retreat, disappearing into the dense vegetation.
SM_COMPRESSAUTOSAVES	Compress Autosaves	I have been grievously wounded!
STRAIGHTEN_UP	Straighten Up	The hunting party edges forward, encircling the area and closing on the tiger. The beast discovers the trap too late and tries to run, but the hunters close in from all sides, stabbing with their spears. The tiger roars wildly as its life's blood spills over the ground.
war_elephants	War Elephants	We killed the tiger!
war_elephants_offensive	War Elephants Offensive	The hunting party edges forward, encircling the area and closing on the tiger. The beast, however, smells the trap and turns and flees into the dense vegetation. Several soldiers run after it but return shortly after to report that the animal is gone.
war_elephants_defensive	War Elephants Defensive	No luck today, it seems.
war_elephants_morale	War Elephants Morale	Expel the Jomsvikings
camel_cavalry	Camel Cavalry	Compress Autosaves
camel_cavalry_offensive	Camel Cavalry Offensive	Straighten Up
camel_cavalry_defensive	Camel Cavalry Defensive	War Elephants
camel_cavalry_morale	Camel Cavalry Morale	War Elephants Offensive
find_guru	Search for a Guru	War Elephants Defensive
find_guru_desc	Finding a wise guru and inviting him to your court would improve your prestige as well as give you the benefits of his sage advice.	War Elephants Morale
EVTDESC_RoI_3000	You have sent messengers out in all directions, their mission to try and find a wise guru and convince him to come to your court.	Camel Cavalry
EVTOPTA_RoI_3000	I hope they find such a person.	Camel Cavalry Offensive
EVTDESC_RoI_3003	My [Root.GetLordLady], the wise guru [From.GetFirstNameWithNick] has agreed to come and take up residence at your court.	Camel Cavalry Defensive
EVTOPTA_RoI_3003	Excellent!	Camel Cavalry Morale
OVER_MAX_DEMENSE	Over Max Demesne	Search for a Guru
title_guru	Court Guru	Finding a wise guru and inviting him to your court would improve your prestige as well as give you the benefits of his sage advice.
title_guru_desc	A guru is a wise master or teacher, one who imparts wisdom, usually by giving oral instruction and advice. Having a respected guru residing at your court can be useful, giving you access to sage advice.	You have sent messengers out in all directions, their mission to try and find a wise guru and convince him to come to your court.
troops_war_weary	War weary troops	I hope they find such a person.
EVTDESC_RoI_146	My [Root.GetLordLady], the soldiers are reluctant to follow you to India. They are tired of the combat, pain and glory.	My [Root.GetLordLady], the wise guru [From.GetFirstNameWithNick] has agreed to come and take up residence at your court.
EVTOPTA_RoI_146	Yet they shall follow me.	Excellent!
EVTOPTB_RoI_146	Onward! They will learn to fear us in the East as well!	Over Max Demesne
hindu_ascetic	Ascetic	Court Guru
buddhist_ascetic	Ascetic	A guru is a wise master or teacher, one who imparts wisdom, usually by giving oral instruction and advice. Having a respected guru residing at your court can be useful, giving you access to sage advice.
jain_naked_ascetic	Walks Naked	War weary troops
realm_hindus_insulted	Hindus in your realm are insulted	My [Root.GetLordLady], the soldiers are reluctant to follow you to India. They are tired of the combat, pain and glory.
realm_buddhists_insulted	Buddhists in your realm are insulted	Yet they shall follow me.
realm_jains_insulted	Jains in your realm are insulted	Onward! They will learn to fear us in the East as well!
EVTDESC_RoI_203	A Hindu yogi has appeared at your court, seeking audience. He speaks of the many Hindu gods and how to reach for wisdom and power by honoring them and follow the wisdom of the Mahabharata.	Ascetic
EVTOPTA_RoI_203	Tell me more...	Ascetic
EVTOPTB_RoI_203	If you have finished talking, you may leave.	Walks naked
EVTOPTC_RoI_203	I don't need your strange, pathetic demon-gods. Guards, throw him out!	Hindus in your realm are insulted
EVTDESC_RoI_204	The yogi continues to elaborate on the way of ascetism and yoga and how to live a spiritual life through discipline and mediation.	Buddhists in your realm are insulted
EVTOPTA_RoI_204	You have convinced me. I too shall embrace yoga and ascetism!	Jains in your realm are insulted
EVTOPTB_RoI_204	You are wise. I shall take up the Hindu faith.	A Hindu yogi has appeared at your court, seeking audience. He speaks of the many Hindu gods and how to reach for wisdom and power by honoring them and follow the wisdom of the Mahabharata.
EVTOPTC_RoI_204	On second thought, this is perhaps not for me.	Tell me more...
EVTDESC_RoI_206	A Buddhist yogi has appeared at your court, seeking audience. He speaks to you of the ways of the Buddha and of how to reach wisdom by rejecting excess and moderating your desires.	If you have finished talking, you may leave.
EVTOPTC_RoI_206	I don't need your pseudo-philosophy. Guards, throw him out!	I don't need your strange, pathetic demon-gods. Guards, throw him out!
EVTOPTA_RoI_207	You have convinced me. It's Buddha time...	The yogi continues to elaborate on the way of ascetism and yoga and how to live a spiritual life through discipline and mediation.
EVTOPTB_RoI_207	You are wise. I shall take up the Buddhist faith.	You have convinced me. I too shall embrace yoga and ascetism!
EVTOPTC_RoI_207	On second thought, this is perhaps not for me.	You are wise. I shall take up the Hindu faith.
EVTDESC_RoI_209	A naked Jain ascetic has appeared at your court, seeking audience. Sitting before you in the throne room, he criticizes your lifestyle, calls you sinful and speaks to you of the Jain ways of harmony and purity.	On second thought, this is perhaps not for me.
EVTOPTB_RoI_209	Put some clothes on, man!	A Buddhist yogi has appeared at your court, seeking audience. He speaks to you of the ways of the Buddha and of how to reach wisdom by rejecting excess and moderating your desires.
EVTOPTC_RoI_209	Call me sinful, will you? Guards, take him out and behead him!	I don't need your pseudo-philosophy. Guards, throw him out!
EVTDESC_RoI_210	The naked Jain ascetic continues to elaborate on the way of ascetism and yoga and how to seek spiritual purity through discipline and mediation.	You have convinced me. It's Buddha time...
EVTOPTA_RoI_210	You have convinced me. I too shall walk naked!	You are wise. I shall take up the Buddhist faith.
EVTOPTB_RoI_210	You are wise. I shall take up the Jain faith.	On second thought, this is perhaps not for me.
EVTOPTC_RoI_210	On second thought, this is perhaps not for me.	A naked Jain ascetic has appeared at your court, seeking audience. Sitting before you in the throne room, he criticizes your lifestyle, calls you sinful and speaks to you of the Jain ways of harmony and purity.
EVTDESC_RoI_215	My [Root.GetLordLady], a huge diamond has been found in a mine in one of your provinces. It is truly one of those stones that are found once every five centuries! The only question now is, of course: what do you wish to do with it?	Put some clothes on, man!
EVTOPTA_RoI_215	I shall wear it in a magnificent new crown!	Call me sinful, will you? Guards, take him out and behead him!
EVTOPTB_RoI_215	I will hide it in the treasury, where it's safe.	The naked Jain ascetic continues to elaborate on the way of ascetism and yoga and how to seek spiritual purity through discipline and mediation.
EVTOPTC_RoI_215	I will give it to my [Root.Spouse.GetHusbandWife], [Root.Spouse.GetTitledFirstName].	You have convinced me. I too shall walk naked!
EVTOPTD_RoI_215	It's worth a fortune, sell it!	You are wise. I shall take up the Jain faith.
EVTDESC_RoI_216	As you sit in your throne room, the huge diamond sparkles in your magnificent crown. It casts a lustrous brilliance over everyone present, a brilliance that echoes in your reputation across the realm.	On second thought, this is perhaps not for me.
EVTOPTA_RoI_216	It is glorious!	My [Root.GetLordLady], a huge diamond has been found in a mine in one of your provinces. It is truly one of those stones that are found once every five centuries! The only question now is, of course: what do you wish to do with it?
EVTDESC_RoI_217	You are riding with a troops of soldiers through a nearby town, returning from inspecting your lands. You are wearing your magnificent crown. Suddenly, someone jumps at you from an overhanging roof and tries to grab your crown. The thief misses, however, and breaks his neck in the fall.	I shall wear it in a magnificent new crown!
EVTOPTA_RoI_217	That was close.	I will hide it in the treasury, where it's safe.
EVTDESC_RoI_218	You are out in the countryside, inspecting forest-clearing work being done by your subjects. You are wearing your magnificent crown. As usual, elephants are employed for the heavy work. The sun catches your huge diamond and it sparkles wildly, blinding a nearby elephant who panics! The animal rampages through your company, injuring several people severely.	I will give it to my [Root.GetHusbandWife], [Root.Spouse.GetTitledFirstName].
EVTOPTA_RoI_218	Oh no!	It's worth a fortune, sell it!
EVTDESC_RoI_220	Sleeping in bed at night, you wake to the sound of furtive footsteps. As you sit up, you see [From.GetFullName] in the process of removing your diamond crown from its place near your bed. As you cry out, [From.GetSheHe] pulls a knife and stabs at you. You scream, and moments later your guards enter and seize the thief. Enraged, you order [From.GetHerHim] executed on the spot.	As you sit in your throne room, the huge diamond sparkles in your magnificent crown. It casts a lustrous brilliance over everyone present, a brilliance that echoes in your reputation across the realm.
EVTOPTA_RoI_220	This is what happens to thieves and murderers!	It is glorious!
EVTDESC_RoI_221	You are busy ruling your realm, but in your free moments you take a pause to think of that beautiful large diamond that is hidden safe in your treasury. You are certain that no one else in the world has such a precious treasure.	You are riding with a troops of soldiers through a nearby town, returning from inspecting your lands. You are wearing your magnificent crown. Suddenly, someone jumps at you from an overhanging roof and tries to grab your crown. The thief misses, however, and breaks his neck in the fall.
